City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,nalut,30.3333,10.85,10.38,58,49,7.87,LY,1675539510
261,najran,17.4924,44.1277,19.36,46,58,1.16,SA,1675539134
262,custodia,-8.0875,-37.6431,33.75,22,66,4.87,BR,1675539511
263,nikel,69.4128,30.222,-14.9,100,92,1.12,RU,1675539310
264,farmington,36.7281,-108.2187,7.38,36,0,0.0,US,1675539253
265,riyadh,24.6877,46.7219,16.08,50,0,6.13,SA,1675539333
266,marsala,37.7966,12.4352,12.97,76,75,4.63,IT,1675539347
267,hami,42.8,93.45,-0.85,36,100,1.97,CN,1675539511
268,santa cruz,-17.8,-63.1667,31.7,54,75,6.69,BO,1675539285
269,jackson,42.4165,-122.8345,13.55,58,20,2.06,US,1675539468
270,clarksburg,39.2807,-80.3445,5.58,28,0,4.63,US,1675539375
271,college,64.8569,-147.8028,-12.03,78,75,1.54,US,1675539403
272,saint-francois,46.4154,3.9054,6.69,95,100,2.06,FR,1675539512
273,namibe,-15.1961,12.1522,21.66,77,30,4.3,AO,1675539512
274,portland,45.5234,-122.6762,10.05,89,100,5.14,US,1675539245
275,saint pete beach,27.7253,-82.7412,25.05,52,0,3.58,US,1675539513
276,agirish,61.9247,63.0231,-12.28,96,100,1.53,RU,1675539513
277,payo,-3.7508,103.6372,21.85,96,100,0.86,ID,1675539513
278,casablanca,33.5928,-7.6192,13.19,66,20,2.06,MA,1675539488
279,chokurdakh,70.6333,147.9167,-34.37,99,51,3.48,RU,1675539514
280,high level,58.5169,-117.136,-14.94,92,100,0.0,CA,1675539403
281,imeni poliny osipenko,52.4201,136.4853,-25.71,99,100,1.09,RU,1675539514
282,williams lake,52.1415,-122.1445,3.76,69,40,5.66,CA,1675539442
283,chake chake,-5.2459,39.7666,26.03,80,100,3.96,TZ,1675539515
284,lac du bonnet,50.2536,-96.0612,-9.33,87,100,2.04,CA,1675539515
285,beyneu,45.3167,55.2,0.35,98,100,4.67,KZ,1675539515
286,belmonte,-15.8631,-38.8828,28.13,73,3,5.07,BR,1675539516
287,matay,28.419,30.7792,13.06,39,100,2.55,EG,1675539516
288,la paz,-16.5,-68.15,9.99,87,75,3.6,BO,1675539403
289,puro,12.4841,123.3827,24.72,88,71,5.2,PH,1675539516
290,calvinia,-31.4707,19.776,21.24,44,0,3.06,ZA,1675539165
291,clarence town,-32.5833,151.7833,19.36,50,0,1.27,AU,1675539517
292,wuwei,37.9281,102.6414,-1.92,41,0,0.5,CN,1675539517
293,antalaha,-14.9003,50.2788,24.49,88,10,2.94,MG,1675539489
294,north platte,41.1239,-100.7654,6.73,62,0,9.26,US,1675539364
295,vostok,46.4856,135.8833,-21.3,98,100,2.25,RU,1675539398
296,aswan,24.0934,32.907,16.61,25,0,4.12,EG,1675539517
297,mundo nuevo,18.7,-95.5,20.66,74,100,7.86,MX,1675539445
298,vila velha,-20.3297,-40.2925,31.97,73,0,6.17,BR,1675539383
299,spasskoye,44.6108,132.7969,-14.62,87,95,2.67,RU,1675539518
300,calama,-22.4667,-68.9333,24.27,31,20,10.8,CL,1675539518
301,nizhniy odes,63.6445,54.856,-21.79,100,100,1.0,RU,1675539337
302,kalnibolotskaya,46.0058,40.4568,-1.29,87,92,1.75,RU,1675539518
303,tutoia,-2.7619,-42.2744,27.36,80,46,6.31,BR,1675539519
304,wyndham,37.6985,-77.6125,2.75,31,0,4.92,US,1675539519
305,inuvik,68.3499,-133.7218,-33.52,71,20,2.06,CA,1675539519
306,hihya,30.6713,31.588,9.41,75,7,2.16,EG,1675539520
307,awjilah,29.1081,21.2869,13.29,50,100,2.88,LY,1675539520
308,rocha,-34.4833,-54.3333,21.03,81,52,8.63,UY,1675539327
309,aklavik,68.2191,-135.0107,-40.0,67,20,1.03,CA,1675539520
310,san antonio,29.4241,-98.4936,16.88,64,0,5.14,US,1675539169
311,joaquim nabuco,-8.6244,-35.5333,27.77,64,67,4.92,BR,1675539521
312,vinkovci,45.2883,18.8047,1.25,55,0,9.26,HR,1675539521
313,padang,-0.9492,100.3543,24.82,85,100,1.48,ID,1675539521
314,palmer,42.1584,-72.3287,-9.71,23,75,4.12,US,1675539451
315,bonavista,48.6499,-53.1147,-12.74,78,87,16.4,CA,1675539522
316,fairbanks,64.8378,-147.7164,-12.02,79,100,1.54,US,1675539373
317,malatya,38.5,38.0,-3.97,100,100,0.0,TR,1675539522
318,wexford,52.3342,-6.4575,7.9,88,100,4.47,IE,1675539523
319,varzob,38.7737,68.8178,2.85,58,100,4.64,TJ,1675539523
320,malanje,-9.5402,16.341,17.53,96,100,1.41,AO,1675539523
321,minggang,32.4586,114.0486,4.07,65,58,2.03,CN,1675539524
322,choix,26.7092,-108.3219,31.87,15,2,2.2,MX,1675539524
323,khatanga,71.9667,102.5,-38.73,100,54,2.19,RU,1675539312
324,manta,-0.95,-80.7333,28.88,70,40,4.12,EC,1675539524
325,hualmay,-11.0964,-77.6139,24.87,71,89,4.17,PE,1675539524
326,pabna,24.0,89.25,16.36,46,43,2.55,BD,1675539525
327,kisangani,0.5167,25.2,23.9,47,17,1.21,CD,1675539525
328,ogaminana,7.5946,6.2248,30.48,20,48,0.61,NG,1675539525
329,zhangye,38.9342,100.4517,-3.51,46,10,1.02,CN,1675539526
330,sitka,57.0531,-135.33,0.94,86,100,2.06,US,1675539526
331,wentzville,38.8114,-90.8529,11.79,41,100,4.47,US,1675539503
332,inhambane,-23.865,35.3833,24.62,86,10,3.73,MZ,1675539351
333,lakes entrance,-37.8811,147.981,12.87,81,45,5.63,AU,1675539527
334,richards bay,-28.783,32.0377,22.3,89,7,1.13,ZA,1675539346
335,atar,20.5169,-13.0499,18.65,16,99,5.65,MR,1675539527
336,hamilton,39.1834,-84.5333,7.72,39,0,8.23,US,1675539282
337,mogadishu,2.0371,45.3438,24.84,75,10,9.99,SO,1675539527
338,bida,9.0833,6.0167,31.36,15,17,0.86,NG,1675539528
339,tsaratanana,-16.7833,47.65,23.72,87,97,1.17,MG,1675539528
340,singapore,1.2897,103.8501,25.58,94,75,2.06,SG,1675539400
341,gamba,-2.65,10.0,25.48,86,97,1.09,GA,1675539529
342,lavrentiya,65.5833,-171.0,-25.35,95,96,3.12,RU,1675539312
343,sohag,26.557,31.6948,11.16,45,34,2.53,EG,1675539529
344,aborlan,9.4352,118.5492,24.61,89,100,3.51,PH,1675539530
345,santa cecilia,-26.9608,-50.4269,23.69,51,100,3.11,BR,1675539530
346,nara,34.6851,135.8049,3.05,48,4,1.62,JP,1675539530
347,popondetta,-8.7537,148.2534,23.27,95,100,0.93,PG,1675539531
348,inyonga,-6.7167,32.0667,18.16,90,100,0.59,TZ,1675539531
349,constitucion,-35.3333,-72.4167,20.15,74,43,3.34,CL,1675539531
350,vila franca do campo,37.7167,-25.4333,15.23,84,5,2.44,PT,1675539531
351,chimbote,-9.0853,-78.5783,24.63,69,100,4.33,PE,1675539532
352,qiongshan,20.0058,110.3542,20.99,100,75,3.0,CN,1675539532
353,linqiong,30.4159,103.4609,11.9,67,100,1.17,CN,1675539532
354,celle,52.6226,10.0805,3.06,90,35,1.03,DE,1675539533
355,fortuna,40.5982,-124.1573,14.96,60,100,4.47,US,1675539533
356,egvekinot,66.3167,-179.1667,-33.81,88,14,6.2,RU,1675539533
357,iqaluit,63.7506,-68.5145,-35.15,66,20,8.75,CA,1675539049
358,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,71,0,3.0,RU,1675539094
359,ewa beach,21.3156,-158.0072,22.27,86,100,6.17,US,1675539534
360,katsuura,35.1333,140.3,6.94,70,4,5.26,JP,1675539357
361,nyamuswa,-1.9,34.0167,19.8,59,100,0.95,TZ,1675539534
362,marzuq,14.4,46.4667,17.93,72,18,1.72,YE,1675539293
363,evensk,61.95,159.2333,-19.25,82,100,3.73,RU,1675539359
364,pangai,-19.8,-174.35,27.04,76,88,10.59,TO,1675539441
